,Unnamed: 0,index,condition,image_index,key_press,rt,response,stimulus_side,prioritization_cue,subject,side,run,coherency,prioritization,category
57,58,58,4.0,47.0,1.0,0.870672507538984,1.0,1,double,17,inside,5,low,no,car
58,59,59,1.0,32.0,2.0,0.735982848080312,1.0,1,right,17,inside,5,high,yes,face
59,60,60,2.0,8.0,1.0,0.709150464936101,1.0,1,double,17,inside,5,high,no,car
60,61,61,1.0,19.0,2.0,0.8857887308367941,1.0,0,left,17,inside,5,high,yes,face
61,62,62,4.0,68.0,1.0,0.939031252371933,0.0,0,double,17,inside,5,low,no,face
62,63,63,2.0,26.0,2.0,0.6624273326087861,1.0,1,double,17,inside,5,high,no,face
63,64,64,3.0,57.0,2.0,0.905749779503822,1.0,0,left,17,inside,5,low,yes,face
64,65,65,3.0,49.0,1.0,0.7365044391226551,1.0,0,left,17,inside,5,low,yes,car
65,66,66,1.0,3.0,1.0,1.06644498460446,1.0,0,left,17,inside,5,high,yes,car
66,67,67,2.0,13.0,1.0,0.920927967657917,1.0,0,double,17,inside,5,high,no,car
67,68,68,4.0,67.0,1.0,0.657275417197525,0.0,0,double,17,inside,5,low,no,face
68,69,69,3.0,64.0,2.0,0.810164077749505,1.0,1,right,17,inside,5,low,yes,face
69,70,70,1.0,20.0,2.0,0.789503795986093,1.0,1,right,17,inside,5,high,yes,face
70,71,71,3.0,61.0,2.0,0.7497277487200341,1.0,1,right,17,inside,5,low,yes,face
71,72,72,1.0,11.0,1.0,0.689160692894802,1.0,1,right,17,inside,5,high,yes,car
72,75,1,3.0,56.0,2.0,0.8261629830521999,1.0,0,left,17,inside,4,low,yes,face
73,76,2,1.0,26.0,2.0,0.657730570052081,1.0,1,right,17,inside,4,high,yes,face
74,77,3,2.0,25.0,2.0,0.579556819160644,1.0,0,double,17,inside,4,high,no,face
75,78,4,3.0,57.0,1.0,0.801615708907775,0.0,1,right,17,inside,4,low,yes,face
76,79,5,4.0,55.0,1.0,0.5562224699096989,0.0,1,double,17,inside,4,low,no,face
77,80,6,1.0,19.0,2.0,0.6503626981793791,1.0,1,right,17,inside,4,high,yes,face
78,81,7,1.0,9.0,1.0,0.5840835104972939,1.0,0,left,17,inside,4,high,yes,car
79,82,8,3.0,58.0,1.0,0.489210730524064,0.0,1,right,17,inside,4,low,yes,face
80,83,9,4.0,68.0,1.0,0.7796238594310129,0.0,1,double,17,inside,4,low,no,face
81,84,10,4.0,59.0,1.0,0.5702346210528051,0.0,1,double,17,inside,4,low,no,face
82,85,11,4.0,44.0,1.0,0.5482908138692439,1.0,1,double,17,inside,4,low,no,car
83,86,12,2.0,20.0,2.0,0.585272511274525,1.0,1,double,17,inside,4,high,no,face
84,87,13,3.0,43.0,1.0,0.711407223760034,1.0,1,right,17,inside,4,low,yes,car
85,88,14,2.0,11.0,1.0,0.45377075540091,1.0,1,double,17,inside,4,high,no,car
86,89,15,2.0,14.0,1.0,0.5885695412871429,1.0,1,double,17,inside,4,high,no,car
87,90,16,2.0,6.0,1.0,0.6634460581553872,1.0,1,double,17,inside,4,high,no,car
88,91,17,2.0,9.0,1.0,0.6304105140734461,1.0,1,double,17,inside,4,high,no,car
89,92,18,3.0,62.0,1.0,0.5109890219246149,0.0,1,right,17,inside,4,low,yes,face
90,93,19,1.0,8.0,1.0,0.478134254706674,1.0,0,left,17,inside,4,high,yes,car
91,94,20,2.0,18.0,1.0,0.5845170704415071,1.0,0,double,17,inside,4,high,no,car
92,95,21,4.0,56.0,2.0,0.52778010262773,1.0,0,double,17,inside,4,low,no,face
93,96,22,2.0,2.0,1.0,0.7413739175863159,1.0,0,double,17,inside,4,high,no,car
94,97,23,4.0,45.0,1.0,0.564666924587073,1.0,1,double,17,inside,4,low,no,car
95,98,24,3.0,52.0,1.0,0.593544954128447,1.0,0,left,17,inside,4,low,yes,car
96,99,25,3.0,51.0,1.0,0.5188648832227051,1.0,1,right,17,inside,4,low,yes,car
97,100,26,4.0,47.0,1.0,0.7493437636439921,1.0,0,double,17,inside,4,low,no,car
